T1,T2,T1C,T2C,Count
person_name,person,person_id,person_id,97
sch_appt,person,person_id,person_id,97
account,billing_entity,billing_entity_id,billing_entity_id,95
order_catalog_synonym,ord_cat_sent_r,synonym_id,synonym_id,95
order_sentence,ord_cat_sent_r,order_sentence_id,order_sentence_id,95
task_activity,orders,order_id,order_id,95
track_reference,tracking_checkin,tracking_ref_id,acuity_level_id,95
orders,encntr_loc_hist,encntr_id,encntr_id,94
person,encntr_prsnl_reltn,person_id,prsnl_person_id,94
surg_case_procedure,surgical_case,surg_case_id,surg_case_id,94
prsnl,person_prsnl_activity,person_id,prsnl_id,93
him_pv_document,person,person_id,person_id,92
charge,interface_charge,charge_item_id,charge_item_id,91
him_event_allocation,ce_event_prsnl,event_id,event_id,91
him_event_allocation,him_pv_document,event_id,event_id,90
order_catalog,orders,catalog_cd,catalog_cd,90
tracking_item,encounter,encntr_id,encntr_id,90
order_dispense,orders,order_id,order_id,89
pathology_case,case_specimen,case_id,case_id,89
pw_comp_os_reltn,pathway_comp,pathway_comp_id,pathway_comp_id,89
him_event_allocation,encounter,encntr_id,encntr_id,88
order_catalog,ord_cat_sent_r,catalog_cd,catalog_cd,88
br_datamart_filter,br_datamart_category,br_datamart_category_id,br_datamart_category_id,87
encounter,pathway,encntr_id,encntr_id,87
order_radiology,encounter,encntr_id,encntr_id,87
orders,clinical_event,encntr_id,encntr_id,87
person,sch_event_patient,person_id,person_id,87
pending_collection,orders,order_id,order_id,86
clinical_event,ce_date_result,event_id,event_id,85
pft_encntr,benefit_order,pft_encntr_id,pft_encntr_id,84
surgical_case,person,person_id,person_id,84
encntr_domain,encntr_alias,encntr_id,encntr_id,83
location,organization,organization_id,organization_id,83
orders,encounter,person_id,person_id,83
pathology_case,processing_task,case_id,case_id,83
procedure,encounter,encntr_id,encntr_id,83
prsnl,person_prsnl_reltn,person_id,prsnl_person_id,83
person,encntr_person_reltn,person_id,related_person_id,82
tracking_item,person,person_id,person_id,82
case_times,surgical_case,surg_case_id,surg_case_id,81
charge,person,person_id,person_id,81
sch_event_detail,sch_appt,sch_event_id,sch_event_id,81
diagnosis,person,person_id,person_id,80
encounter,task_activity,encntr_id,encntr_id,79
orders,order_catalog,catalog_cd,catalog_cd,79
sch_event_patient,sch_event,sch_event_id,sch_event_id,79
order_sentence,pw_comp_os_reltn,order_sentence_id,order_sentence_id,78
med_oe_defaults,med_flex_object_idx,med_oe_defaults_id,parent_entity_id,77
order_sentence_detail,order_sentence,order_sentence_id,order_sentence_id,77
org_type_reltn,organization,organization_id,organization_id,77
proc_prsnl_reltn,procedure,procedure_id,procedure_id,77
br_datamart_filter,br_datamart_report_filter_r,br_datamart_filter_id,br_datamart_filter_id,76
encounter,organization,organization_id,organization_id,76
encounter,surgical_case,encntr_id,encntr_id,76
pathway_comp,order_catalog_synonym,parent_entity_id,synonym_id,76
surgical_case,encntr_alias,encntr_id,encntr_id,76
bill_rec,bill_reltn,corsp_activity_id,corsp_activity_id,75
device,output_dest,device_cd,device_cd,75
med_identifier,med_identifier,item_id,item_id,74
prod_dispense_hx,dispense_hx,dispense_hx_id,dispense_hx_id,73
trans_log,pft_trans_reltn,activity_id,activity_id,73
order_product,orders,order_id,order_id,72
br_datamart_value,br_datamart_filter,br_datamart_filter_id,br_datamart_filter_id,71
ce_dynamic_label,clinical_event,ce_dynamic_label_id,ce_dynamic_label_id,71
encntr_plan_reltn,orders,encntr_id,encntr_id,71
health_plan,person_plan_reltn,health_plan_id,health_plan_id,71
pft_charge,charge,charge_item_id,charge_item_id,71
transfusion,product,product_id,product_id,71
ce_coded_result,clinical_event,event_id,event_id,70
charge,order_dispense,order_id,order_id,70
benefit_order,pft_encntr,pft_encntr_id,pft_encntr_id,69
encntr_alias,charge,encntr_id,encntr_id,69
med_identifier,order_catalog_item_r,item_id,item_id,69
person_prsnl_activity,person,person_id,person_id,68
rad_trans_stats,rad_report,rad_report_id,rad_report_id,68
v500_event_set_explode,clinical_event,event_cd,event_cd,68
ce_event_note,clinical_event,event_id,event_id,67
lh_amb_event_data_2017,lh_d_query,d_query_id,d_query_id,67
nomen_entity_reltn,orders,parent_entity_id,order_id,67
clinical_event,clinical_event,encntr_id,encntr_id,66
diagnosis,nomen_entity_reltn,diagnosis_id,child_entity_id,65
encounter,sch_event_patient,encntr_id,encntr_id,65
order_radiology,encntr_alias,encntr_id,encntr_id,65
orders,long_text,order_id,parent_entity_id,65
person,surgical_case,person_id,person_id,64
prsnl,ce_event_prsnl,person_id,action_prsnl_id,64
benefit_order,bo_hp_reltn,benefit_order_id,benefit_order_id,63
br_datamart_value,br_datamart_filter,br_datamart_category_id,br_datamart_category_id,63
dcp_section_ref,dcp_forms_def,dcp_section_ref_id,dcp_section_ref_id,63
fill_print_hx,fill_print_ord_hx,run_id,run_id,63
product_event,transfusion,person_id,person_id,63
prsnl,address,person_id,parent_entity_id,63
transfusion,patient_dispense,person_id,person_id,63
long_blob,ce_event_note,parent_entity_id,ce_event_note_id,62
orders,prsnl,active_status_prsnl_id,person_id,62
printer,device,device_cd,device_cd,62
sch_appt,encounter,encntr_id,encntr_id,62
scheduled_time_of_day,frequency_schedule,frequency_cd,frequency_cd,62
charge,charge_event,charge_event_id,charge_event_id,61
encounter,order_radiology,encntr_id,encntr_id,61
person,charge,person_id,person_id,61
clinical_event,clinical_event,parent_event_id,parent_event_id,60
clinical_event,encntr_loc_hist,encntr_id,encntr_id,60
him_event_allocation,encntr_alias,encntr_id,encntr_id,60
order_catalog_item_r,item_definition,item_id,item_id,60
prsnl_alias,person_name,person_id,person_id,60
surgical_case,encounter,encntr_id,encntr_id,60
surgical_case,surg_case_procedure,surg_case_id,surg_case_id,60
order_sentence,alt_sel_list,order_sentence_id,order_sentence_id,59
rad_report_prsnl,prsnl,report_prsnl_id,person_id,59
bill_reltn,bo_hp_reltn,parent_entity_id,bo_hp_reltn_id,58
br_datamart_filter,br_datamart_value,br_datamart_filter_id,br_datamart_filter_id,58
encntr_alias,sch_event_patient,encntr_id,encntr_id,58
long_text,sch_event_comm,long_text_id,text_id,58
order_catalog,profile_task_r,catalog_cd,catalog_cd,58
rad_report,order_radiology,order_id,order_id,58
task_activity,clinical_event,event_id,event_id,58
alt_sel_list,order_catalog_synonym,synonym_id,synonym_id,57
clinical_event,orders,catalog_cd,catalog_cd,57
dcp_forms_activity_comp,dcp_forms_activity,dcp_forms_activity_id,dcp_forms_activity_id,56
ocs_facility_r,order_catalog_synonym,synonym_id,synonym_id,56
order_entry_fields,order_sentence_detail,oe_field_id,oe_field_id,56
prsnl,orders,person_id,last_update_provider_id,56
billing_entity,pft_encntr,billing_entity_id,billing_entity_id,55
lh_amb_qual_encntr,lh_d_query,d_query_id,d_query_id,55
pathology_case,case_report,case_id,case_id,55
pft_encntr,pft_charge,pft_encntr_id,pft_encntr_id,55
surgical_case,case_times,surg_case_id,surg_case_id,55
encounter,lh_amb_qual_encntr,encntr_id,encntr_id,54
him_pv_document,encntr_alias,encntr_id,encntr_id,54
order_action,clinical_event,order_id,order_id,54
order_catalog_synonym,order_catalog_item_r,synonym_id,synonym_id,54
person,address,person_id,parent_entity_id,54
person,lh_amb_qual_encntr,person_id,person_id,54
v500_event_set_explode,v500_event_set_canon,event_set_cd,event_set_cd,54
clinical_event,ce_event_prsnl,event_id,event_id,53
item_definition,medication_definition,item_id,item_id,53
mic_report_response,mic_task_log,task_log_id,task_log_id,53
prsnl,clinical_event,person_id,verified_prsnl_id,53
clinical_event,scd_story,event_id,event_id,52
encounter,clinical_event,person_id,person_id,52
orders,fill_print_ord_hx,order_id,order_id,52
orders,prsnl,updt_id,person_id,52
organization_alias,organization,organization_id,organization_id,52
person,rad_trans_stats,person_id,trans_prsnl_id,52
product_event,encntr_alias,encntr_id,encntr_id,52
rad_report,rad_report_prsnl,rad_report_id,rad_report_id,52
sch_location,sch_appt,schedule_id,schedule_id,52
address,organization,parent_entity_id,organization_id,51
encntr_alias,encntr_alias,encntr_id,encntr_id,51
order_catalog,order_catalog_item_r,catalog_cd,catalog_cd,51
order_container_r,orders,order_id,order_id,51
person_plan_reltn,encounter,person_id,person_id,51
clinical_event,clinical_event,accession_nbr,accession_nbr,50
dcp_forms_activity,person,person_id,person_id,50
phone,sch_appt,parent_entity_id,person_id,50
prsnl,surgical_case,person_id,surgeon_prsnl_id,50
task_activity_assignment,task_activity,task_id,task_id,50
charge,orders,order_id,order_id,49
fn_omf_encntr,encounter,encntr_id,encntr_id,49
him_pv_document,encounter,encntr_id,encntr_id,49
lh_d_nurse_unit,lh_mu_fx_2_metrics,d_nurse_unit_id,d_discharge_nurse_unit_id,49
med_identifier,order_product,item_id,item_id,49
object_identifier_index,object_identifier_index,object_id,object_id,49
orders,task_activity,order_id,order_id,49
lh_amb_event_data,lh_d_query,d_query_id,d_query_id,48
problem,lh_amb_event_data_2016,problem_instance_id,parent_entity_id,48
profile_task_r,discrete_task_assay,task_assay_cd,task_assay_cd,48
sch_event_disp,sch_appt,sch_event_id,sch_event_id,48
clinical_event,ce_coded_result,event_id,event_id,47
location,track_group,location_cd,parent_value,47
med_dispense,medication_definition,item_id,item_id,47
pft_charge,pft_trans_reltn,activity_id,activity_id,47
v500_event_set_canon,v500_event_set_code,parent_event_set_cd,event_set_cd,47
ce_event_prsnl,task_activity,event_id,event_id,46
charge,encntr_alias,encntr_id,encntr_id,46
dcp_input_ref,dcp_section_ref,dcp_section_instance_id,dcp_section_instance_id,46
person,prsnl,person_id,person_id,46
task_activity_assignment,phone,assign_prsnl_id,parent_entity_id,46
clinical_event,clinical_event,event_id,parent_event_id,45
clinical_event,prsnl,performed_prsnl_id,person_id,45
encounter,encntr_plan_reltn,encntr_id,encntr_id,45
oe_field_meaning,order_sentence_detail,oe_field_meaning_id,oe_field_meaning_id,45
phone,prsnl,parent_entity_id,person_id,45
rad_report_prsnl,rad_report,rad_report_id,rad_report_id,45
encounter,person_alias,person_id,person_id,44
order_catalog_synonym,order_catalog_item_r,item_id,item_id,44
person,alt_sel_cat,person_id,owner_id,44
product_event,encounter,encntr_id,encntr_id,44
profile_task_r,order_catalog,catalog_cd,catalog_cd,44
ce_event_prsnl,prsnl,action_prsnl_id,person_id,43
dcp_forms_def,dcp_forms_ref,dcp_form_instance_id,dcp_form_instance_id,43
lh_d_person,lh_mu_fx_2_metrics,d_person_id,d_person_id,43
lh_d_person,person,person_id,person_id,43
order_entry_format,oe_format_fields,oe_format_id,oe_format_id,43
perform_result,result,result_id,result_id,43
person,encntr_plan_reltn,person_id,person_id,43
prsnl,tracking_checkin,person_id,primary_doc_id,43
surgical_case,prsnl,surgeon_prsnl_id,person_id,43
clinical_event,result,order_id,order_id,42
encntr_plan_reltn,health_plan,health_plan_id,health_plan_id,42
mic_stat_task,mic_stat_order,order_id,order_id,42
rad_report,order_radiology,order_id,parent_order_id,42
bill_reltn,bill_rec,corsp_activity_id,corsp_activity_id,41
billing_entity,delivery_system,billing_entity_id,billing_entity_id,41
order_action,accession_order_r,order_id,order_id,41
prsnl,proc_prsnl_reltn,person_id,prsnl_person_id,41
v500_event_set_canon,v500_event_set_canon,event_set_cd,parent_event_set_cd,41
encntr_alias,surgical_case,encntr_id,encntr_id,40
health_plan,bo_hp_reltn,health_plan_id,health_plan_id,40
mic_task_log,mic_report_response,task_log_id,task_log_id,40
order_catalog_synonym,pathway_comp,synonym_id,parent_entity_id,40
pathology_case,encounter,encntr_id,encntr_id,40
pft_proration,bo_hp_reltn,bo_hp_reltn_id,bo_hp_reltn_id,40
v500_event_set_canon,v500_event_set_explode,event_set_cd,event_set_cd,40
mic_task_log,accession_order_r,order_id,order_id,39
mic_task_log,orders,order_id,order_id,39
order_catalog,order_entry_format,oe_format_id,oe_format_id,39
orders,alt_sel_list,synonym_id,synonym_id,39
pathology_case,ap_prefix,prefix_id,prefix_id,39
pathology_case,person,person_id,person_id,39
sch_event_attach,sch_appt,sch_event_id,sch_event_id,39
v500_event_set_explode,br_datamart_value,event_set_cd,parent_entity_id,39
bo_hp_reltn,bill_reltn,bo_hp_reltn_id,parent_entity_id,38
lh_amb_qual_encntr_2017,lh_d_query,d_query_id,d_query_id,38
orders,encntr_domain,encntr_id,encntr_id,38
organization,org_plan_reltn,organization_id,organization_id,38
person,phone,person_id,parent_entity_id,38
prsnl_org_reltn,prsnl,person_id,person_id,38
task_activity,clinical_event,encntr_id,encntr_id,38
transfusion,person,person_id,person_id,38
bill_item,price_sched_items,bill_item_id,bill_item_id,37
lh_d_encntr_type,lh_mu_fx_2_metrics,d_encntr_type_id,d_encntr_type_id,37
lh_d_person,lh_amb_qual_encntr_2017,person_id,person_id,37
mic_stat_order,encounter,encntr_id,encntr_id,37
name_value_prefs,dcp_input_ref,parent_entity_id,dcp_input_ref_id,37
order_action,order_radiology,order_id,order_id,37
order_radiology,rad_report,order_id,order_id,37
prsnl_alias,encntr_prsnl_reltn,person_id,prsnl_person_id,37
prsnl_group,prsnl_group_reltn,prsnl_group_id,prsnl_group_id,37
pw_cat_flex,pathway_catalog,pathway_catalog_id,pathway_catalog_id,37
charge_event,charge,charge_event_id,charge_event_id,36
encounter,him_pv_document,encntr_id,encntr_id,36
name_value_prefs,detail_prefs,parent_entity_id,detail_prefs_id,36
order_entry_fields,oe_format_fields,oe_field_id,oe_field_id,36
person_alias,orders,person_id,person_id,36
person_info,person,person_id,person_id,36
sch_event_comm,sch_appt,sch_event_id,sch_event_id,36
sch_event_detail,sch_event,sch_event_id,sch_event_id,36
task_activity,clinical_event,event_id,parent_event_id,36
v500_event_set_explode,v500_event_set_code,event_set_cd,event_set_cd,36
allergy,nomenclature,substance_nom_id,nomenclature_id,35
charge,charge_mod,charge_item_id,charge_item_id,35
device,device_xref,device_cd,device_cd,35
dts_trans_stats,order_radiology,event_id,group_event_id,35
fill_print_hx,output_dest,output_device_cd,device_cd,35
interface_charge,encounter,encntr_id,encntr_id,35
person,person_person_reltn,person_id,related_person_id,35
person,person_prsnl_activity,person_id,person_id,35
person_alias,sch_appt,person_id,person_id,35
person_prsnl_activity,prsnl,prsnl_id,person_id,35
person_prsnl_reltn,encounter,person_id,person_id,35
bill_item,order_catalog,ext_parent_reference_id,catalog_cd,34
clinical_event,him_event_allocation,event_id,event_id,34
clinical_event,orders,encntr_id,encntr_id,34
discrete_task_assay,name_value_prefs,task_assay_cd,merge_id,34
fill_print_ord_hx,orders,order_id,order_id,34
oe_format_fields,order_entry_fields,oe_field_id,oe_field_id,34
order_comment,orders,order_id,order_id,34
order_detail,order_action,order_id,order_id,34
orders,clinical_event,person_id,person_id,34
organization,encntr_plan_reltn,organization_id,organization_id,34
organization,person_org_reltn,organization_id,organization_id,34
prsnl,dispense_hx,person_id,run_user_id,34
scd_story,clinical_event,event_id,event_id,34
alt_sel_cat,alt_sel_list,alt_sel_category_id,alt_sel_category_id,33
batch_trans,batch_trans_file,batch_trans_id,batch_trans_id,33
chart_request,person,person_id,person_id,33
container,order_container_r,container_id,container_id,33
encntr_alias,tracking_item,encntr_id,encntr_id,33
him_pv_document,prsnl,action_prsnl_id,person_id,33
med_identifier,med_product,med_product_id,med_product_id,33
order_sentence_detail,ord_cat_sent_r,order_sentence_id,order_sentence_id,33
orders,charge,order_id,order_id,33
orders,order_review,order_id,order_id,33
orders,result,order_id,order_id,33
person_prsnl_reltn,person,person_id,person_id,33
scd_term_data,scd_term,scd_term_data_id,scd_term_data_id,33
sch_appt,sch_event,sch_event_id,sch_event_id,33
tracking_checkin,track_reference,acuity_level_id,tracking_ref_id,33
br_datamart_flex,br_datamart_value,br_datamart_flex_id,br_datamart_flex_id,32
dcp_forms_activity,dcp_forms_activity_prsnl,dcp_forms_activity_id,dcp_forms_activity_id,32
encntr_alias,pft_encntr,encntr_id,encntr_id,32
encounter,dcp_forms_activity,encntr_id,encntr_id,32
esi_log,oen_txlog,msgid,msgid,32
gl_trans_log,pft_charge,activity_id,activity_id,32
orders,med_admin_event,order_id,order_id,32
organization,org_type_reltn,organization_id,organization_id,32
phone,organization,parent_entity_id,organization_id,32
problem,pregnancy_instance,problem_id,problem_id,32
prsnl,person,person_id,person_id,32
prsnl_alias,surg_case_procedure,person_id,primary_surgeon_id,32
scd_story_pattern,scd_story,scd_story_id,scd_story_id,32
scd_term,scd_story,scd_story_id,scd_story_id,32
be_prsnl_group_r,pft_prsnl_group_r,pft_prsnl_group_id,pft_prsnl_group_id,31
billing_entity,be_prsnl_group_r,billing_entity_id,billing_entity_id,31
drg,encounter,encntr_id,encntr_id,31
encntr_alias,encntr_domain,encntr_id,encntr_id,31
encntr_alias,sch_appt,encntr_id,encntr_id,31
encntr_loc_hist,clinical_event,encntr_id,encntr_id,31
health_plan_alias,health_plan,health_plan_id,health_plan_id,31
location,sch_appt,location_cd,appt_location_cd,31
med_product,bill_item,manf_item_id,ext_parent_reference_id,31
order_entry_fields,order_detail,oe_field_id,oe_field_id,31
order_radiology,prsnl,order_physician_id,person_id,31
orders,person_alias,person_id,person_id,31
person,order_radiology,person_id,person_id,31
transfusion,clinical_event,person_id,person_id,31
address,location,parent_entity_id,organization_id,30
cs_component,order_sentence,order_sentence_id,order_sentence_id,30
discrete_task_assay,profile_task_r,task_assay_cd,task_assay_cd,30
encounter,procedure,encntr_id,encntr_id,30
orders,order_container_r,order_id,order_id,30
person_name,proc_prsnl_reltn,person_id,prsnl_person_id,30
pft_encntr,pft_trans_reltn,pft_encntr_id,parent_entity_id,30
processing_task,ap_tag,slide_tag_id,tag_id,30
prsnl,person,person_id,create_prsnl_id,30
task_activity,dcp_forms_activity,task_id,task_id,30
clinical_event,order_action,order_id,order_id,29
encntr_domain,clinical_event,encntr_id,encntr_id,29
encntr_plan_reltn,sch_appt,encntr_id,encntr_id,29
encntr_plan_reltn,yrmc_aco_mssp_alist,member_nbr,hicno,29
orc_resource_list,order_catalog,catalog_cd,catalog_cd,29
order_review,orders,order_id,order_id,29
order_serv_res_container,orders,order_id,order_id,29
pe_status_reason,pft_encntr,pft_encntr_id,pft_encntr_id,29
pft_charge,pft_charge_bo_reltn,pft_charge_id,pft_charge_id,29
profile_task_r,reference_range_factor,task_assay_cd,task_assay_cd,29
prsnl,orders,person_id,active_status_prsnl_id,29
prsnl,scd_story,person_id,author_id,29
report_queue,outputctx,output_handle_id,handle_id,29
sch_appt,sch_event_action,sch_event_id,sch_event_id,29
address,encounter,parent_entity_id,person_id,28
clinical_event,clinical_event,person_id,person_id,28
encntr_alias,him_pv_document,encntr_id,encntr_id,28
him_event_allocation,task_activity,event_id,event_id,28
mic_task_log,mic_sus_order_detail,task_log_id,task_log_id,28
order_catalog_item_r,order_catalog_synonym,synonym_id,synonym_id,28
orders,order_product,order_id,order_id,28
orders,orders,encntr_id,encntr_id,28
org_plan_reltn,health_plan,health_plan_id,health_plan_id,28
perioperative_document,surgical_case,surg_case_id,surg_case_id,28
person,him_pv_document,person_id,person_id,28
person_prsnl_reltn,prsnl,prsnl_person_id,person_id,28
phone,location,parent_entity_id,organization_id,28
rc_d_encntr_type_class,rc_f_daily_census,rc_d_encntr_type_class_id,rc_d_encntr_type_class_id,28
shr_d_location,rc_f_daily_census,shr_d_location_id,shr_d_location_id,28
tracking_item,encntr_alias,encntr_id,encntr_id,28
br_datamart_report_filter_r,br_datamart_report,br_datamart_report_id,br_datamart_report_id,27
ce_event_prsnl,person,action_prsnl_id,person_id,27
charge_mod,pft_charge,charge_item_id,charge_item_id,27
clinical_event,mic_task_log,order_id,order_id,27
dcp_forms_activity,dcp_forms_ref,dcp_forms_ref_id,dcp_forms_ref_id,27
dispense_hx,prod_dispense_hx,dispense_hx_id,dispense_hx_id,27
encntr_alias,order_radiology,encntr_id,encntr_id,27
frequency_schedule,orders,frequency_id,frequency_id,27
med_identifier,prod_dispense_hx,item_id,item_id,27
nomenclature,reaction,nomenclature_id,reaction_nom_id,27
order_task,task_activity,reference_task_id,reference_task_id,27
orders,sch_event_attach,order_id,order_id,27
person,pft_acct_reltn,person_id,parent_entity_id,27
pft_charge_bo_reltn,pft_charge,pft_charge_id,pft_charge_id,27
prsnl_alias,him_event_allocation,person_id,prsnl_id,27
prsnl_group_reltn,prsnl,person_id,person_id,27
rad_trans_stats,rad_report_prsnl,rad_report_id,rad_report_id,27
reaction,allergy,allergy_id,allergy_id,27
reference_range_factor,discrete_task_assay,task_assay_cd,task_assay_cd,27
alpha_responses,reference_range_factor,reference_range_factor_id,reference_range_factor_id,26
bill_item,orders,ext_parent_reference_id,catalog_cd,26
br_datamart_report,br_datamart_category,br_datamart_category_id,br_datamart_category_id,26
clinical_event,surgical_case,encntr_id,encntr_id,26
encntr_loc_hist,nurse_unit,loc_nurse_unit_cd,location_cd,26
mic_stat_susceptibility,mic_stat_task,task_log_id,task_log_id,26
